"Stimulus" "Reading.AOI.number" "word"
"7423" "rc-n1forced-anim-4.jpg" 3 "adamın"
"7425" "rc-n1forced-anim-4.jpg" 4 "köşkü"
"7426" "rc-n1forced-anim-4.jpg" 5 "geçen"
"7427" "rc-n1forced-anim-4.jpg" 6 "gün"
"7428" "rc-n1forced-anim-4.jpg" 7 "satışa"
"7429" "rc-n1forced-anim-4.jpg" 8 "çıkarıldı."
"7450" "rc-n1forced-anim-4.jpg" 10 "etmek"
"7451" "rc-n1forced-anim-4.jpg" 11 "için"
"7452" "rc-n1forced-anim-4.jpg" 12 "<buraya>"
"7916" "rc-n1forced-anim-4.jpg" 13 "bakınız."
"9712" "rc-n1forced-anim-5.jpg" 1 "Çardakta"
"9711" "rc-n1forced-anim-5.jpg" 2 "oturan"
"9718" "rc-n1forced-anim-5.jpg" 3 "adamın"
"9719" "rc-n1forced-anim-5.jpg" 4 "ayağı"
"9732" "rc-n1forced-anim-5.jpg" 5 "çok"
"9721" "rc-n1forced-anim-5.jpg" 6 "acayip"
"9733" "rc-n1forced-anim-5.jpg" 7 "bir"
"9722" "rc-n1forced-anim-5.jpg" 8 "koku"
"9724" "rc-n1forced-anim-5.jpg" 9 "salıyor."
"10437" "rc-n1forced-anim-5.jpg" 11 "etmek"
"9770" "rc-n1forced-anim-5.jpg" 12 "için"
"9726" "rc-n1forced-anim-5.jpg" 13 "<buraya>"
"11997" "rc-n1forced-anim-6.jpg" 1 "Sokakta"
"11999" "rc-n1forced-anim-6.jpg" 2 "yürüyen"
"12000" "rc-n1forced-anim-6.jpg" 3 "kızın"
"12002" "rc-n1forced-anim-6.jpg" 4 "atkısı"
"12013" "rc-n1forced-anim-6.jpg" 5 "tozlu"
"12014" "rc-n1forced-anim-6.jpg" 6 "yerlere"
"12003" "rc-n1forced-anim-6.jpg" 7 "sürünüyordu."
"12053" "rc-n1forced-anim-6.jpg" 8 "Devam"
"12017" "rc-n1forced-anim-6.jpg" 10 "için"
"12007" "rc-n1forced-anim-6.jpg" 11 "<buraya>"
"1570" "rc-n1forced-nonanim-1.jpg" 1 "Okyanusta"
"1574" "rc-n1forced-nonanim-1.jpg" 2 "batan"
"1575" "rc-n1forced-nonanim-1.jpg" 3 "yatın"
"1579" "rc-n1forced-nonanim-1.jpg" 4 "aşçısı"
"1581" "rc-n1forced-nonanim-1.jpg" 5 "yeni"
"1593" "rc-n1forced-nonanim-1.jpg" 6 "bir"
"1620" "rc-n1forced-nonanim-1.jpg" 7 "iş"
"1582" "rc-n1forced-nonanim-1.jpg" 8 "aramak"
"1584" "rc-n1forced-nonanim-1.jpg" 9 "istedi."
"1601" "rc-n1forced-nonanim-1.jpg" 13 "<buraya>"
"3756" "rc-n1forced-nonanim-2.jpg" 1 "Depremde"
"3761" "rc-n1forced-nonanim-2.jpg" 2 "yıkılan"
"3757" "rc-n1forced-nonanim-2.jpg" 3 "evin"
"3759" "rc-n1forced-nonanim-2.jpg" 4 "bekçisi"
"3760" "rc-n1forced-nonanim-2.jpg" 5 "başka"
"3768" "rc-n1forced-nonanim-2.jpg" 6 "bir"
"3769" "rc-n1forced-nonanim-2.jpg" 7 "şehre"
"3771" "rc-n1forced-nonanim-2.jpg" 8 "taşındı."
"4290" "rc-n1forced-nonanim-2.jpg" 10 "etmek"
"4172" "rc-n1forced-nonanim-2.jpg" 11 "için"
"3788" "rc-n1forced-nonanim-2.jpg" 12 "<buraya>"
"6334" "rc-n1forced-nonanim-3.jpg" 1 "Yolları"
"6336" "rc-n1forced-nonanim-3.jpg" 2 "kapanan"
"6338" "rc-n1forced-nonanim-3.jpg" 3 "köyün"
"6339" "rc-n1forced-nonanim-3.jpg" 4 "delisi"
"6388" "rc-n1forced-nonanim-3.jpg" 5 "iki"
"6340" "rc-n1forced-nonanim-3.jpg" 6 "gün"
"6342" "rc-n1forced-nonanim-3.jpg" 7 "evinde"
"6345" "rc-n1forced-nonanim-3.jpg" 8 "mahsur"
"6344" "rc-n1forced-nonanim-3.jpg" 9 "kaldı."
"6745" "rc-n1forced-nonanim-3.jpg" 12 "için"
"6349" "rc-n1forced-nonanim-3.jpg" 13 "<buraya>"
"6828" "rc-n1forced-nonanim-3.jpg" 14 "bakınız."
"8612" "rc-n1forced-nonanim-4.jpg" 1 "Kiraya"
"8613" "rc-n1forced-nonanim-4.jpg" 2 "verilen"
"8611" "rc-n1forced-nonanim-4.jpg" 3 "büronun"
"8624" "rc-n1forced-nonanim-4.jpg" 4 "şefi"
"8617" "rc-n1forced-nonanim-4.jpg" 5 "görevini"
"8620" "rc-n1forced-nonanim-4.jpg" 6 "başkasına"
"8622" "rc-n1forced-nonanim-4.jpg" 7 "devretti."
"9003" "rc-n1forced-nonanim-4.jpg" 10 "için"
"8625" "rc-n1forced-nonanim-4.jpg" 11 "<buraya>"
"9831" "rc-n1forced-nonanim-4.jpg" 12 "bakınız."
"10834" "rc-n1forced-nonanim-5.jpg" 1 "Dalgalarla"
"10835" "rc-n1forced-nonanim-5.jpg" 2 "batan"
"10841" "rc-n1forced-nonanim-5.jpg" 3 "salın"
"10842" "rc-n1forced-nonanim-5.jpg" 4 "sahibi"
"10845" "rc-n1forced-nonanim-5.jpg" 5 "kıyıya"
"10847" "rc-n1forced-nonanim-5.jpg" 6 "yüzerek"
